fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.697986577181208,0.6817791456251762,0.67905172463996,0.6723002966758309,-0.009782207456626058,-0.1071428571428571,-0.048933209647495333,-0.009782207456626058,0.44999999999999996,0.2568181818181818,cp
2,0.6040268456375839,0.6195668498168498,0.6175758958718285,0.6160106820622236,0.11445565969718817,0.23333333333333328,0.14495330459770112,0.11445565969718817,0.26645768025078376,0.14495330459770112,cp
3,0.7114093959731543,0.6879166666666666,0.6867392619479734,0.680427561053747,0.07233273056057868,0.07777777777777783,0.038479052823315145,0.07233273056057868,0.41666666666666663,-0.26336441336441335,cp
4,0.6778523489932886,0.6583303369888736,0.6580490523968785,0.6445434607388566,0.034308414590104724,0.15384615384615385,0.07480106100795755,0.034308414590104724,0.8823529411764706,0.41871138254937673,cp
5,0.6845637583892618,0.6829660054765245,0.6751804062126643,0.6568612054329372,0.002448210922787186,-0.117056856187291,-0.054472620176708446,0.002448210922787186,0.5772727272727273,0.296969696969697,cp
6,0.6644295302013423,0.6801083617177587,0.6735602786841873,0.6704410803461709,0.015189873417721517,-0.24242424242424243,-0.11412681973948993,0.015189873417721517,0.42788461538461536,0.27492810552021074,cp
7,0.697986577181208,0.6769089390142021,0.693747899159664,0.6794422916674012,0.00019069412662089946,-0.19658119658119655,-0.12764665889665888,0.00019069412662089946,0.5238095238095237,0.26924044265593555,cp
8,0.6375838926174496,0.6634238717257585,0.669347606416572,0.6318330561179872,-0.01172438672438672,-0.07272727272727275,-0.038807429130009785,-0.01172438672438672,0.7979797979797979,0.362800272893751,cp
9,0.6577181208053692,0.6233488557478327,0.6313283818577936,0.6271341263778238,0.0514626218851571,-0.15555555555555556,-0.06216077828981055,0.0514626218851571,0.4642857142857143,0.2472718253968254,cp
10,0.5906040268456376,0.5899135643988018,0.6169463601532567,0.5918518518518517,0.11855855855855854,0.0,0.02847503373819163,0.11855855855855854,0.4048582995951417,-0.2921385455590687,cp
